Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2020Q4,,S08000015,,S08000015,d,C2,,Accident & Emergency,,42,,42,,0.4565217391304347,,0.4565217391304347,,100,
2021Q1,,S08000015,,A111H,,C2,,Accident & Emergency,,6,,6,,0.06666666666666667,,0.06666666666666667,,100,
2021Q1,,S08000015,,A210H,,C2,,Accident & Emergency,,34,,34,,0.37777777777777777,,0.37777777777777777,,100,
2021Q1,,S08000015,,S08000015,d,C2,,Accident & Emergency,,40,,40,,0.4444444444444444,,0.4444444444444444,,100,
2021Q2,,S08000015,,A111H,,C2,,Accident & Emergency,,15,,15,,0.16483516483516483,,0.16483516483516483,,100,
2021Q2,,S08000015,,A210H,,C2,,Accident & Emergency,,27,,27,,0.2967032967032967,,0.2967032967032967,,100,
2021Q2,,S08000015,,S08000015,d,C2,,Accident & Emergency,,42,,42,,0.4615384615384616,,0.4615384615384616,,100,
2021Q3,,S08000015,,A111H,,C2,,Accident & Emergency,,18,,18,,0.1956521739130435,,0.1956521739130435,,100,
2021Q3,,S08000015,,A210H,,C2,,Accident & Emergency,,44,,44,,0.4782608695652174,,0.4782608695652174,,100,
2021Q3,,S08000015,,S08000015,d,C2,,Accident & Emergency,,62,,62,,0.6739130434782609,,0.6739130434782609,,100,
2021Q4,,S08000015,,A210H,,C2,,Accident & Emergency,,28,,28,,0.30434782608695654,,0.30434782608695654,,100,
2021Q4,,S08000015,,S08000015,d,C2,,Accident & Emergency,,28,,28,,0.30434782608695654,,0.30434782608695654,,100,
2022Q1,,S08000015,,A210H,,C2,,Accident & Emergency,,18,,18,,0.2,,0.2,,100,
2022Q1,,S08000015,,S08000015,d,C2,,Accident & Emergency,,18,,18,,0.2,,0.2,,100,
2022Q2,,S08000015,,A111H,,C2,,Accident & Emergency,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2022Q2,,S08000015,,A210H,,C2,,Accident & Emergency,,33,,33,,0.3626373626373626,,0.3626373626373626,,100,
2022Q2,,S08000015,,S08000015,d,C2,,Accident & Emergency,,34,,34,,0.3736263736263736,,0.3736263736263736,,100,
2022Q3,,S08000015,,A111H,,C2,,Accident & Emergency,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2022Q3,,S08000015,,A210H,,C2,,Accident & Emergency,,22,,22,,0.2391304347826087,,0.2391304347826087,,100,
2022Q3,,S08000015,,S08000015,d,C2,,Accident & Emergency,,23,,23,,0.25,,0.25,,100,
2022Q4,,S08000015,,A111H,,C2,,Accident & Emergency,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2022Q4,,S08000015,,A210H,,C2,,Accident & Emergency,,13,,13,,0.14130434782608697,,0.14130434782608697,,100,
2022Q4,,S08000015,,S08000015,d,C2,,Accident & Emergency,,14,,14,,0.15217391304347827,,0.15217391304347827,,100,
2023Q1,,S08000015,,A210H,,C2,,Accident & Emergency,,20,,20,,0.2222222222222222,,0.2222222222222222,,100,
2023Q1,,S08000015,,S08000015,d,C2,,Accident & Emergency,,20,,20,,0.2222222222222222,,0.2222222222222222,,100,
2023Q2,,S08000015,,A111H,,C2,,Accident & Emergency,,4,,4,,0.04395604395604396,,0.04395604395604396,,100,
2023Q2,,S08000015,,A210H,,C2,,Accident & Emergency,,10,,10,,0.10989010989010987,,0.10989010989010987,,100,
2023Q2,,S08000015,,S08000015,d,C2,,Accident & Emergency,,14,,14,,0.15384615384615383,,0.15384615384615383,,100,
2023Q3,,S08000015,,A111H,,C2,,Accident & Emergency,,14,,14,,0.15217391304347827,,0.15217391304347827,,100,
2023Q3,,S08000015,,A210H,,C2,,Accident & Emergency,,14,,14,,0.15217391304347827,,0.15217391304347827,,100,
2023Q3,,S08000015,,S08000015,d,C2,,Accident & Emergency,,28,,28,,0.30434782608695654,,0.30434782608695654,,100,
2023Q4,,S08000015,,A111H,,C2,,Accident & Emergency,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2023Q4,,S08000015,,A210H,,C2,,Accident & Emergency,,90,,90,,0.9782608695652174,,0.9782608695652174,,100,
2023Q4,,S08000015,,S08000015,d,C2,,Accident & Emergency,,91,,91,,0.9891304347826086,,0.9891304347826086,,100,
2024Q1,,S08000015,,A111H,,C2,,Accident & Emergency,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2024Q1,,S08000015,,A210H,,C2,,Accident & Emergency,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2024Q1,,S08000015,,S08000015,d,C2,,Accident & Emergency,,2,,2,,0.02197802197802198,,0.02197802197802198,,100,
2024Q2,,S08000015,,A111H,,C2,,Accident & Emergency,,158,,158,,1.7362637362637363,,1.7362637362637363,,100,
2024Q2,,S08000015,,A210H,,C2,,Accident & Emergency,,4,,4,,0.04395604395604396,,0.04395604395604396,,100,
2024Q2,,S08000015,,S08000015,d,C2,,Accident & Emergency,,162,,162,,1.78021978021978,,1.78021978021978,,100,
2024Q3,,S08000015,,A111H,,C2,,Accident & Emergency,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2024Q3,,S08000015,,A210H,,C2,,Accident & Emergency,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2024Q3,,S08000015,,S08000015,d,C2,,Accident & Emergency,,4,,4,,0.04347826086956521,,0.04347826086956521,,100,
2024Q4,p,S08000015,,A111H,,C2,,Accident & Emergency,,54,,54,,0.5869565217391305,,0.5869565217391305,,100,
2024Q4,p,S08000015,,A210H,,C2,,Accident & Emergency,,6,,6,,0.06521739130434782,,0.06521739130434782,,100,
2024Q4,p,S08000015,,S08000015,d,C2,,Accident & Emergency,,60,,60,,0.6521739130434783,,0.6521739130434783,,100,
2019Q4,,S08000015,,A111H,,,,All Acute,d,41697,,39505,,453.2282608695652,,429.4021739130435,,94.74302707628848,
2019Q4,,S08000015,,A210H,,,,All Acute,d,31909,,30177,,346.8369565217391,,328.0108695652174,,94.57206430787552,
2019Q4,,S08000015,,S08000015,d,,,All Acute,d,86469,,81597,,939.8804347826087,,886.9239130434783,,94.365610796933,
2020Q1,,S08000015,,A111H,,,,All Acute,d,43053,,38853,,473.1098901098901,,426.956043956044,,90.24458225907604,
2020Q1,,S08000015,,A210H,,,,All Acute,d,31574,,28350,,346.967032967033,,311.53846153846155,,89.78906695382275,
2020Q1,,S08000015,,S08000015,d,,,All Acute,d,87439,,79602,,960.868131868132,,874.7472527472528,,91.03718020562908,
2020Q2,,S08000015,,A111H,,,,All Acute,d,39567,,28239,,434.8021978021978,,310.31868131868134,,71.37008112821292,
2020Q2,,S08000015,,A210H,,,,All Acute,d,25566,,18179,,280.94505494505495,,199.76923076923077,,71.10615661425331,
2020Q2,,S08000015,,S08000015,d,,,All Acute,d,79260,,58335,,870.989010989011,,641.0439560439561,,73.5995457986374,
2020Q3,,S08000015,,A111H,,,,All Acute,d,41011,,37505,,445.7717391304348,,407.6630434782609,,91.45107410207018,
2020Q3,,S08000015,,A210H,,,,All Acute,d,26061,,23002,,283.2717391304348,,250.0217391304348,,88.26215417673919,
2020Q3,,S08000015,,S08000015,d,,,All Acute,d,81232,,72179,,882.9565217391304,,784.554347826087,,88.85537719125469,
2020Q4,,S08000015,,A111H,,,,All Acute,d,44270,,39411,,481.19565217391306,,428.3804347826087,,89.0241698667269,
2020Q4,,S08000015,,A210H,,,,All Acute,d,29415,,26066,,319.7282608695652,,283.32608695652175,,88.6146523882373,
2020Q4,,S08000015,,S08000015,d,,,All Acute,d,88117,,77380,,957.7934782608696,,841.0869565217391,,87.81506406255319,
2021Q1,,S08000015,,A111H,,,,All Acute,d,44361,,40225,,492.9,,446.94444444444446,,90.67649511958705,
2021Q1,,S08000015,,A210H,,,,All Acute,d,28688,,24803,,318.75555555555553,,275.5888888888889,,86.45775237032906,
2021Q1,,S08000015,,S08000015,d,,,All Acute,d,86788,,76215,,964.3111111111112,,846.8333333333334,,87.81744019910587,
2021Q2,,S08000015,,A111H,,,,All Acute,d,44720,,41081,,491.42857142857144,,451.43956043956047,,91.86270125223614,
2021Q2,,S08000015,,A210H,,,,All Acute,d,27905,,24867,,306.64835164835165,,273.2637362637363,,89.11306217523742,
2021Q2,,S08000015,,S08000015,d,,,All Acute,d,86764,,77846,,953.4505494505496,,855.4505494505495,,89.72154349730303,
2021Q3,,S08000015,,A111H,,,,All Acute,d,47624,,44411,,517.6521739130435,,482.7282608695652,,93.25340164622878,
2021Q3,,S08000015,,A210H,,,,All Acute,d,28149,,25637,,305.9673913043478,,278.6630434782609,,91.0760595403034,
2021Q3,,S08000015,,S08000015,d,,,All Acute,d,90100,,82594,,979.3478260869564,,897.7608695652174,,91.669256381798,
2021Q4,,S08000015,,A111H,,,,All Acute,d,50783,,46694,,551.9891304347826,,507.5434782608696,,91.94809286572276,
2021Q4,,S08000015,,A210H,,,,All Acute,d,28742,,26178,,312.4130434782609,,284.54347826086956,,91.079256836685,
2021Q4,,S08000015,,S08000015,d,,,All Acute,d,93750,,85593,,1019.0217391304348,,930.358695652174,,91.2992,
2022Q1,,S08000015,,A111H,,,,All Acute,d,50886,,47085,,565.4,,523.1666666666666,,92.5303619856149,
2022Q1,,S08000015,,A210H,,,,All Acute,d,28917,,26572,,321.3,,295.24444444444447,,91.89058339385136,
2022Q1,,S08000015,,S08000015,d,,,All Acute,d,93600,,86008,,1040,,955.6444444444444,,91.88888888888889,
2022Q2,,S08000015,,A111H,,,,All Acute,d,50269,,47311,,552.4065934065934,,519.9010989010989,,94.11565776124448,
2022Q2,,S08000015,,A210H,,,,All Acute,d,29502,,27446,,324.1978021978022,,301.6043956043956,,93.03098095044405,
2022Q2,,S08000015,,S08000015,d,,,All Acute,d,93587,,87188,,1028.428571428571,,958.10989010989,,93.1625118873348,
2022Q3,,S08000015,,A111H,,,,All Acute,d,50930,,47757,,553.5869565217391,,519.0978260869565,,93.7698802277636,
2022Q3,,S08000015,,A210H,,,,All Acute,d,29506,,27297,,320.7173913043478,,296.70652173913044,,92.51338710770692,
2022Q3,,S08000015,,S08000015,d,,,All Acute,d,94928,,88033,,1031.8260869565215,,956.8804347826087,,92.73660037080737,
2022Q4,,S08000015,,A111H,,,,All Acute,d,51980,,49642,,565,,539.5869565217391,,95.5021161985379,
2022Q4,,S08000015,,A210H,,,,All Acute,d,29376,,28015,,319.30434782608694,,304.5108695652174,,95.36696623093682,
2022Q4,,S08000015,,S08000015,d,,,All Acute,d,96172,,91093,,1045.3478260869565,,990.141304347826,,94.71883708355864,
2023Q1,,S08000015,,A111H,,,,All Acute,d,50844,,48846,,564.9333333333333,,542.7333333333333,,96.07033278262924,
2023Q1,,S08000015,,A210H,,,,All Acute,d,28576,,27408,,317.5111111111111,,304.53333333333336,,95.91265397536397,
2023Q1,,S08000015,,S08000015,d,,,All Acute,d,93837,,89269,,1042.6333333333334,,991.8777777777776,,95.13198418534266,
2023Q2,,S08000015,,A111H,,,,All Acute,d,48088,,46627,,528.4395604395604,,512.3846153846154,,96.96181999667276,
2023Q2,,S08000015,,A210H,,,,All Acute,d,26792,,26064,,294.4175824175824,,286.4175824175824,,97.28277097641087,
2023Q2,,S08000015,,S08000015,d,,,All Acute,d,89463,,85913,,983.10989010989,,944.0989010989013,,96.03187910085734,
2023Q3,,S08000015,,A111H,,,,All Acute,d,47596,,46548,,517.3478260869565,,505.9565217391304,,97.79813429699976,
2023Q3,,S08000015,,A210H,,,,All Acute,d,26827,,26076,,291.5978260869565,,283.4347826086956,,97.20058150370896,
2023Q3,,S08000015,,S08000015,d,,,All Acute,d,89482,,86476,,972.6304347826087,,939.9565217391304,,96.6406651617085,
2023Q4,,S08000015,,A111H,,,,All Acute,d,48377,,46865,,525.8369565217391,,509.4021739130435,,96.87454782231228,
2023Q4,,S08000015,,A210H,,,,All Acute,d,26976,,26478,,293.2173913043478,,287.80434782608694,,98.15391459074732,
2023Q4,,S08000015,,S08000015,d,,,All Acute,d,89738,,86826,,975.4130434782608,,943.7608695652174,,96.75499788272526,
2024Q1,,S08000015,,A111H,,,,All Acute,d,49441,,48352,,543.3076923076923,,531.3406593406594,,97.79737464857104,
2024Q1,,S08000015,,A210H,,,,All Acute,d,27259,,26713,,299.54945054945057,,293.54945054945057,,97.99699181921568,
2024Q1,,S08000015,,S08000015,d,,,All Acute,d,90579,,88585,,995.3736263736264,,973.4615384615385,,97.79860674107684,
2024Q2,,S08000015,,A111H,,,,All Acute,d,48881,,47303,,537.1538461538462,,519.8131868131868,,96.77175180540496,
2024Q2,,S08000015,,A210H,,,,All Acute,d,26334,,25982,,289.38461538461536,,285.5164835164835,,98.66332497911444,
2024Q2,,S08000015,,S08000015,d,,,All Acute,d,89025,,86538,,978.2967032967032,,950.967032967033,,97.20640269587196,
2024Q3,,S08000015,,A111H,,,,All Acute,d,49152,,47601,,534.2608695652174,,517.4021739130435,,96.844482421875,
2024Q3,,S08000015,,A210H,,,,All Acute,d,27595,,26978,,299.94565217391306,,293.2391304347826,,97.76408769704656,
2024Q3,,S08000015,,S08000015,d,,,All Acute,d,90650,,87765,,985.3260869565216,,953.967391304348,,96.81742967457254,
2024Q4,p,S08000015,,A111H,,,,All Acute,d,48220,,46150,,524.1304347826087,,501.6304347826087,,95.70717544587308,
2024Q4,p,S08000015,,A210H,,,,All Acute,d,27613,,26985,,300.14130434782606,,293.3152173913044,,97.72570890522582,
2024Q4,p,S08000015,,S08000015,d,,,All Acute,d,89809,,86760,,976.1847826086956,,943.0434782608696,,96.60501731452304,
2019Q4,,S08000015,,A101H,,,,All Specialties,d,1027,,697,,11.16304347826087,,7.576086956521739,,67.86757546251218,
2019Q4,,S08000015,,A111H,,,,All Specialties,d,49567,,45008,,538.7717391304348,,489.2173913043478,,90.80234833659492,
2019Q4,,S08000015,,A210H,,,,All Specialties,d,31969,,30237,,347.4891304347826,,328.6630434782609,,94.58225155619506,
2019Q4,,S08000015,,S08000015,d,,,All Specialties,d,127096,,113932,,1381.4782608695652,,1238.391304347826,,89.64247497954302,
2020Q1,,S08000015,,A101H,,,,All Specialties,d,708,,550,,7.78021978021978,,6.043956043956044,,77.68361581920904,
2020Q1,,S08000015,,A111H,,,,All Specialties,d,51028,,43563,,560.7472527472528,,478.7142857142857,,85.37077682840793,
2020Q1,,S08000015,,A210H,,,,All Specialties,d,31599,,28375,,347.24175824175825,,311.8131868131868,,89.79714547928731,
2020Q1,,S08000015,,S08000015,d,,,All Specialties,d,128273,,109791,,1409.5934065934066,,1206.4945054945056,,85.59166777108199,
2020Q2,,S08000015,,A101H,,,,All Specialties,d,646,,233,,7.0989010989010985,,2.56043956043956,,36.06811145510836,
2020Q2,,S08000015,,A111H,,,,All Specialties,d,47205,,31694,,518.7362637362637,,348.2857142857143,,67.14119267026798,
2020Q2,,S08000015,,A210H,,,,All Specialties,d,25575,,18188,,281.04395604395603,,199.86813186813183,,71.11632453567938,
2020Q2,,S08000015,,S08000015,d,,,All Specialties,d,118227,,83771,,1299.1978021978025,,920.5604395604396,,70.8560650274472,
2020Q3,,S08000015,,A101H,,,,All Specialties,d,720,,410,,7.826086956521739,,4.456521739130435,,56.94444444444444,
2020Q3,,S08000015,,A111H,,,,All Specialties,d,48548,,41565,,527.695652173913,,451.7934782608696,,85.61629727280217,
2020Q3,,S08000015,,A210H,,,,All Specialties,d,26089,,23030,,283.57608695652175,,250.32608695652175,,88.27475181110813,
2020Q3,,S08000015,,S08000015,d,,,All Specialties,d,119063,,99464,,1294.1630434782608,,1081.1304347826087,,83.53896676549391,
2020Q4,,S08000015,,A101H,,,,All Specialties,d,736,,306,,8,,3.3260869565217392,,41.57608695652174,
2020Q4,,S08000015,,A111H,,,,All Specialties,d,51784,,42997,,562.8695652173913,,467.35869565217394,,83.03143828209487,
2020Q4,,S08000015,,A210H,,,,All Specialties,d,29451,,26102,,320.1195652173913,,283.7173913043478,,88.6285694883026,
2020Q4,,S08000015,,S08000015,d,,,All Specialties,d,125897,,104624,,1368.445652173913,,1137.2173913043478,,83.10285392026815,
2021Q1,,S08000015,,A101H,,,,All Specialties,d,679,,409,,7.544444444444444,,4.544444444444444,,60.23564064801178,
2021Q1,,S08000015,,A111H,,,,All Specialties,d,51499,,43543,,572.2111111111111,,483.81111111111113,,84.55115633313268,
2021Q1,,S08000015,,A210H,,,,All Specialties,d,28722,,24837,,319.1333333333333,,275.96666666666664,,86.4737831627324,
2021Q1,,S08000015,,S08000015,d,,,All Specialties,d,123289,,101388,,1369.8777777777775,,1126.5333333333333,,82.23604701149331,
2021Q2,,S08000015,,A101H,,,,All Specialties,d,640,,336,,7.032967032967033,,3.692307692307693,,52.5,
2021Q2,,S08000015,,A111H,,,,All Specialties,d,52168,,45002,,573.2747252747253,,494.5274725274725,,86.26360987578593,
2021Q2,,S08000015,,A210H,,,,All Specialties,d,27932,,24894,,306.94505494505495,,273.56043956043953,,89.12358585135328,
2021Q2,,S08000015,,S08000015,d,,,All Specialties,d,123646,,104055,,1358.7472527472528,,1143.4615384615386,,84.15557316856187,
2021Q3,,S08000015,,A101H,,,,All Specialties,d,644,,389,,7,,4.228260869565218,,60.40372670807454,
2021Q3,,S08000015,,A111H,,,,All Specialties,d,55380,,48678,,601.9565217391304,,529.1086956521739,,87.89815817984832,
2021Q3,,S08000015,,A210H,,,,All Specialties,d,28193,,25681,,306.44565217391306,,279.14130434782606,,91.08998687617492,
2021Q3,,S08000015,,S08000015,d,,,All Specialties,d,127247,,109918,,1383.1195652173913,,1194.7608695652175,,86.38160428143689,
2021Q4,,S08000015,,A101H,,,,All Specialties,d,553,,395,,6.010869565217392,,4.293478260869565,,71.42857142857143,
2021Q4,,S08000015,,A111H,,,,All Specialties,d,58420,,50915,,635,,553.4239130434783,,87.15337213283122,
2021Q4,,S08000015,,A210H,,,,All Specialties,d,28770,,26206,,312.7173913043478,,284.8478260869565,,91.08793882516512,
2021Q4,,S08000015,,S08000015,d,,,All Specialties,d,131062,,113671,,1424.5869565217392,,1235.554347826087,,86.73070760403473,
2022Q1,,S08000015,,A101H,,,,All Specialties,d,840,,480,,9.333333333333334,,5.333333333333333,,57.14285714285714,
2022Q1,,S08000015,,A111H,,,,All Specialties,d,58454,,51140,,649.4888888888889,,568.2222222222222,,87.48759708488724,
2022Q1,,S08000015,,A210H,,,,All Specialties,d,28936,,26591,,321.5111111111111,,295.4555555555556,,91.89590821122478,
2022Q1,,S08000015,,S08000015,d,,,All Specialties,d,130817,,114083,,1453.522222222222,,1267.588888888889,,87.20808457616366,
2022Q2,,S08000015,,A101H,,,,All Specialties,d,820,,565,,9.010989010989013,,6.208791208791209,,68.90243902439025,
2022Q2,,S08000015,,A111H,,,,All Specialties,d,58342,,51298,,641.1208791208791,,563.7142857142857,,87.9263652257379,
2022Q2,,S08000015,,A210H,,,,All Specialties,d,29535,,27479,,324.56043956043953,,301.967032967033,,93.03876756390724,
2022Q2,,S08000015,,S08000015,d,,,All Specialties,d,131067,,115934,,1440.2967032967033,,1274,,88.45399681079142,
2022Q3,,S08000015,,A101H,,,,All Specialties,d,715,,590,,7.771739130434782,,6.413043478260869,,82.51748251748252,
2022Q3,,S08000015,,A111H,,,,All Specialties,d,59047,,51954,,641.8152173913044,,564.7173913043479,,87.98753535319322,
2022Q3,,S08000015,,A210H,,,,All Specialties,d,29528,,27319,,320.95652173913044,,296.94565217391306,,92.51896505012192,
2022Q3,,S08000015,,S08000015,d,,,All Specialties,d,132842,,117461,,1443.9347826086955,,1276.75,,88.42158353532767,
2022Q4,,S08000015,,A101H,,,,All Specialties,d,902,,688,,9.804347826086955,,7.478260869565218,,76.27494456762749,
2022Q4,,S08000015,,A111H,,,,All Specialties,d,60028,,54509,,652.4782608695652,,592.4891304347826,,90.805957219964,
2022Q4,,S08000015,,A210H,,,,All Specialties,d,29389,,28028,,319.44565217391306,,304.6521739130435,,95.3690156180884,
2022Q4,,S08000015,,S08000015,d,,,All Specialties,d,133805,,120442,,1454.4021739130435,,1309.1521739130435,,90.01307873397855,
2023Q1,,S08000015,,A101H,,,,All Specialties,d,826,,683,,9.177777777777775,,7.588888888888889,,82.68765133171912,
2023Q1,,S08000015,,A111H,,,,All Specialties,d,58756,,53453,,652.8444444444444,,593.9222222222222,,90.97453877050854,
2023Q1,,S08000015,,A210H,,,,All Specialties,d,28597,,27429,,317.74444444444447,,304.76666666666665,,95.91565548833792,
2023Q1,,S08000015,,S08000015,d,,,All Specialties,d,129190,,118331,,1435.4444444444443,,1314.7888888888888,,91.59455066181592,
2023Q2,,S08000015,,A101H,,,,All Specialties,d,877,,622,,9.637362637362637,,6.835164835164835,,70.9236031927024,
2023Q2,,S08000015,,A111H,,,,All Specialties,d,56255,,51455,,618.1868131868132,,565.4395604395604,,91.46742511776728,
2023Q2,,S08000015,,A210H,,,,All Specialties,d,26802,,26074,,294.5274725274725,,286.5274725274725,,97.28378479217967,
2023Q2,,S08000015,,S08000015,d,,,All Specialties,d,125682,,115702,,1381.1208791208792,,1271.4505494505495,,92.05932432647477,
2023Q3,,S08000015,,A101H,,,,All Specialties,d,921,,664,,10.01086956521739,,7.217391304347826,,72.09554831704669,
2023Q3,,S08000015,,A111H,,,,All Specialties,d,55930,,51487,,607.9347826086956,,559.6413043478261,,92.05614160557842,
2023Q3,,S08000015,,A210H,,,,All Specialties,d,26841,,26090,,291.75,,283.5869565217391,,97.2020416526955,
2023Q3,,S08000015,,S08000015,d,,,All Specialties,d,125457,,115755,,1363.6630434782608,,1258.2065217391305,,92.2666730433535,
2023Q4,,S08000015,,A101H,,,,All Specialties,d,923,,617,,10.032608695652174,,6.706521739130435,,66.84723726977248,
2023Q4,,S08000015,,A111H,,,,All Specialties,d,56918,,51828,,618.6739130434783,,563.3478260869565,,91.05731051688394,
2023Q4,,S08000015,,A210H,,,,All Specialties,d,27066,,26568,,294.19565217391306,,288.7826086956522,,98.16005320328088,
2023Q4,,S08000015,,S08000015,d,,,All Specialties,d,125784,,115623,,1367.2173913043478,,1256.7717391304348,,91.92186605609616,
2024Q1,,S08000015,,A101H,,,,All Specialties,d,910,,585,,10,,6.428571428571429,,64.28571428571429,
2024Q1,,S08000015,,A111H,,,,All Specialties,d,57515,,52696,,632.032967032967,,579.0769230769231,,91.62131617838826,
2024Q1,,S08000015,,A210H,,,,All Specialties,d,27260,,26714,,299.56043956043953,,293.56043956043953,,97.99706529713866,
2024Q1,,S08000015,,S08000015,d,,,All Specialties,d,125665,,115754,,1380.934065934066,,1272.021978021978,,92.11315799944296,
2024Q2,,S08000015,,A101H,,,,All Specialties,d,909,,695,,9.989010989010987,,7.637362637362638,,76.45764576457647,
2024Q2,,S08000015,,A111H,,,,All Specialties,d,56990,,51334,,626.2637362637363,,564.1098901098901,,90.07545183365502,
2024Q2,,S08000015,,A210H,,,,All Specialties,d,26338,,25986,,289.42857142857144,,285.56043956043953,,98.66352798238286,
2024Q2,,S08000015,,S08000015,d,,,All Specialties,d,124082,,113391,,1363.5384615384614,,1246.0549450549452,,91.38392353443692,
2024Q3,,S08000015,,A101H,,,,All Specialties,d,923,,652,,10.032608695652174,,7.086956521739131,,70.63921993499459,
2024Q3,,S08000015,,A111H,,,,All Specialties,d,57228,,52030,,622.0434782608696,,565.5434782608696,,90.91703361990632,
2024Q3,,S08000015,,A210H,,,,All Specialties,d,27597,,26980,,299.9673913043478,,293.2608695652174,,97.76424973729029,
2024Q3,,S08000015,,S08000015,d,,,All Specialties,d,126027,,115071,,1369.858695652174,,1250.7717391304348,,91.30662477088242,
2024Q4,p,S08000015,,A101H,,,,All Specialties,d,926,,721,,10.065217391304348,,7.836956521739131,,77.86177105831534,
2024Q4,p,S08000015,,A111H,,,,All Specialties,d,56842,,51095,,617.8478260869565,,555.3804347826087,,89.8895183139228,
2024Q4,p,S08000015,,A210H,,,,All Specialties,d,27619,,26991,,300.20652173913044,,293.3804347826087,,97.72620297621202,
2024Q4,p,S08000015,,S08000015,d,,,All Specialties,d,125307,,113807,,1362.0326086956522,,1237.0326086956522,,90.82253984214768,
2020Q1,,S08000015,,A111H,,C3,,Anaesthetics,,3,,3,,0.03296703296703297,,0.03296703296703297,,100,
2020Q1,,S08000015,,S08000015,d,C3,,Anaesthetics,,3,,3,,0.03296703296703297,,0.03296703296703297,,100,
2020Q3,,S08000015,,A111H,,C3,,Anaesthetics,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2020Q3,,S08000015,,S08000015,d,C3,,Anaesthetics,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2021Q4,,S08000015,,A111H,,C3,,Anaesthetics,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2021Q4,,S08000015,,S08000015,d,C3,,Anaesthetics,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2022Q2,,S08000015,,A111H,,C3,,Anaesthetics,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2022Q2,,S08000015,,S08000015,d,C3,,Anaesthetics,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2022Q4,,S08000015,,A210H,,C3,,Anaesthetics,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2022Q4,,S08000015,,S08000015,d,C3,,Anaesthetics,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2023Q3,,S08000015,,A111H,,C3,,Anaesthetics,,3,,3,,0.03260869565217391,,0.03260869565217391,,100,
